"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
4189,60,"1","yes","2","optic fiber | security door | internal exposure | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","7","no","available","123",1960,"excellent / refurbished","frua","mezzanine","central","g",420000
4190,138,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","6","1 in garage/box","available","280",1994,"excellent / refurbished","certosa","2","independent","e",499000
4191,150,"2","yes","3","security door | balcony | full day concierge | cellar","2","no","available","No condominium fees",NA,"new / under construction","garibaldi - corso como","1","independent","g",1224000
4192,107,"1","yes","4","electric gate | attic | optic fiber | security door | balcony | centralized tv system | shared garden | window frames in glass / wood | double exposure","4","no","available","250",1972,"good condition / liveable","bisceglie","2","central","g",330000
4193,183,"1","yes","5","optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","6","no","available","500",1920,"good condition / liveable","centrale","4","central","f",995000
4194,80,"1","yes","2","video entryphone | security door | balcony | centralized tv system | cellar | window frames in double glass / metal | double exposure","7","1 in garage/box","available","100",2003,"good condition / liveable","gallaratese","6","independent","b",235000
4195,210,"3","yes","5+","optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure","8","1 in garage/box","available","700",NA,"excellent / refurbished","città studi","7","central","c",950000
4196,90,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood","7","no","available","200",1965,"excellent / refurbished","solari","mezzanine","central","g",695000
4197,105,"1","yes","3","optic fiber | video entryphone | alarm system | security door | internal exposure | half-day concierge | tv system with satellite dish | window frames in double glass / pvc","6","no","available","200",1930,"excellent / refurbished","guastalla","ground floor","central",NA,810000
4198,55,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | half-day concierge | centralized tv system | cellar | private garden | window frames in double glass / pvc","5","no","available",NA,2023,"new / under construction","turro","ground floor","central","a",291000
4199,60,"1","yes","2","video entryphone | security door | balcony | furnished | cellar | shared garden","6","no","available","142",1962,"new / under construction","viale ungheria - mecenate","4","central","g",215000
4200,70,"1","yes","2","electric gate | video entryphone | alarm system | security door | balcony | single tv system | cellar | shared garden | window frames in triple glass / metal | double exposure","3","no","available","No condominium fees",2022,"new / under construction","garibaldi - corso como","2","independent","a",8e+05
4201,180,"2","yes","5","alarm system | security door | external exposure | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood","5","no","available","430",1930,"good condition / liveable","porta romana - medaglie d'oro","4","central","e",1120000
4202,80,"2","no","3","electric gate | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | partially furnished | window frames in double glass / pvc","2","no","available","30",2024,"new / under construction","bovisa","mezzanine","central","a",390000
4203,50,"1","yes","2","electric gate | optic fiber | security door | external exposure | balcony | centralized tv system | shared garden | window frames in glass / pvc","4","1 in garage/box, 1 in shared parking","available","80",2023,"new / under construction","precotto","1","independent","a",310000
4204,48,"1","no","2","external exposure | balcony | centralized tv system | cellar | window frames in glass / wood","4","no","available",NA,1950,"good condition / liveable","affori","3","central","g",168000
4205,36,"1","yes","1","video entryphone | security door | internal exposure | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc","4","no","available","100",1960,"excellent / refurbished","dergano","semi-basement","central","d",155000
4206,22,"1","yes","2","optic fiber | balcony | window frames in double glass / metal","3","1 in garage/box","available","80",1950,"to be refurbished","precotto","3","central","g",105000
4207,106,"1","no","2","attic | security door | balcony | terrace | centralized tv system | window frames in glass / pvcdouble exposure","5","no","available",NA,1950,"good condition / liveable","bovisa","5","independent","g",295000
4208,40,"1","yes","1","optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | furnished | cellar | shared garden | window frames in triple glass / pvc","5","no","available","80",1930,"excellent / refurbished","buenos aires","3","central","d",358000
4209,100,"1","no","2","tavern | optic fiber | security door | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","5","no","available","208",2005,"excellent / refurbished","navigli - darsena","ground floor","central","d",550000
4210,50,"1","yes","2","optic fiber | video entryphone | security door | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvc","9","no","available",NA,1970,"new / under construction","piazza napoli","1","independent","b",270000
